fname,label
clip_667ea2de0.wav,up
clip_4e1d2a516.wav,no
clip_4746c1f34.wav,no
clip_016404de8.wav,no
clip_25f0146ae.wav,yes
clip_160d3ee69.wav,yes
clip_0b0070730.wav,down
clip_0033db83b.wav,no
clip_2c1e066c9.wav,yes
clip_542857c3e.wav,right
clip_54a4ab635.wav,off
clip_0ee7bd486.wav,off
clip_262464bbc.wav,no
clip_5d5805dda.wav,up
clip_1859beefc.wav,stop
clip_10ca32e2a.wav,no
clip_68f14da2e.wav,left
clip_421a559aa.wav,no
clip_0c89364ef.wav,go
clip_4da6e30aa.wav,stop
clip_00585d26d.wav,left
clip_3b75e257d.wav,go
clip_53a383d3a.wav,stop
clip_0247b1b67.wav,no
clip_018676e95.wav,no
clip_169783bf3.wav,no
clip_501d50f52.wav,no
clip_407b89420.wav,on
clip_3cc16f490.wav,left
clip_16e76f7b1.wav,on
clip_4b5a9ebd7.wav,no
clip_1acadb625.wav,stop
clip_015a873ba.wav,unknown
clip_3cd18feb0.wav,no
clip_0e6abb7c2.wav,unknown
clip_672b03e29.wav,up
clip_16430ae53.wav,right
clip_493360b37.wav,no
clip_4805916b8.wav,no
clip_07ce26648.wav,yes
clip_638cddd54.wav,right
clip_2d96f883a.wav,no
clip_1cb311f75.wav,no
clip_5b7a2b02a.wav,no
clip_214a0b327.wav,no
clip_6ed79e067.wav,no
clip_4fdcc5b82.wav,yes
clip_2fd184179.wav,down
clip_6e97b83c4.wav,stop
clip_5e981d987.wav,no
clip_459c990f0.wav,yes
clip_3df75cbb8.wav,no
clip_4dc5934bb.wav,no
clip_634b2e477.wav,yes
clip_14fd44908.wav,down
clip_5f5191546.wav,on
clip_4efd6411b.wav,no
clip_5fd3fb1f5.wav,no
clip_5dd877795.wav,no
clip_1696202a6.wav,left
clip_2358ed674.wav,down
clip_544aca444.wav,down
clip_3a79b5a38.wav,right
clip_08358009f.wav,no
clip_39291ba84.wav,unknown
clip_139c712fe.wav,right
clip_44d2056d8.wav,no
clip_3d9f6542d.wav,no
clip_2e675bb9e.wav,yes
clip_29a2df839.wav,go
clip_4789101aa.wav,off
clip_6e8ea96fe.wav,down
clip_5203d58c2.wav,no
clip_03888e3be.wav,no
clip_637a3afda.wav,no
clip_022cc9ac9.wav,up
clip_201c61ab6.wav,down
clip_0bea9587c.wav,no
clip_2e41537f1.wav,no
clip_46bb583b7.wav,off
clip_4e764fea9.wav,no
clip_449a94a77.wav,off
clip_5be8b031a.wav,stop
clip_1d2437286.wav,down
clip_431c9aa93.wav,unknown
clip_22a0ea30c.wav,yes
clip_4f37aa3a7.wav,no
clip_5abe6ea8f.wav,go
clip_587409b49.wav,unknown
clip_520cc4309.wav,on
clip_60ae58449.wav,on
clip_5720a949a.wav,unknown
clip_548d593c4.wav,no
clip_1b5b01084.wav,no
clip_486c8fd40.wav,no
clip_64d95ca5e.wav,no
clip_6c88d08c7.wav,on
clip_68eaf9391.wav,silence
clip_25f7cce89.wav,stop
clip_125c86131.wav,yes
clip_4e7524f3b.wav,on
clip_3fcbf8141.wav,off
clip_295e9e3bc.wav,stop
clip_1de3a569a.wav,no
clip_693d8ab97.wav,unknown
clip_2a40a01e6.wav,on
clip_61fd6e88f.wav,right
clip_279a28890.wav,stop
clip_5596a2264.wav,down
clip_61628e20b.wav,no
clip_417deea13.wav,no
clip_0015cb701.wav,no
clip_2090d1718.wav,no
clip_4276dda28.wav,no
clip_6ecfec5fc.wav,no
clip_00ea0ba39.wav,down
clip_5174e7e58.wav,left
clip_62826edfb.wav,yes
clip_0d7876d7a.wav,go
clip_28f1bdd9a.wav,no
clip_1ae4ba838.wav,up
clip_4fee8726d.wav,stop
clip_6bfaac9e1.wav,yes
clip_635ff2431.wav,no
clip_189b27738.wav,no
clip_5d6320b78.wav,down
clip_65aa9e779.wav,up
clip_6660c949c.wav,stop
clip_5ebf2a026.wav,no
clip_3f59faa63.wav,off
clip_2b140d21a.wav,no
clip_047ccf01a.wav,on
clip_440b39488.wav,no
clip_41c06317a.wav,down
clip_06b52e544.wav,stop
clip_438066626.wav,down
clip_0eab0dc4c.wav,go
clip_3ac999f20.wav,down
clip_64171dd4c.wav,no
clip_6951952a4.wav,yes
clip_49022aee9.wav,on
clip_2ee98cdb6.wav,no
clip_2e3622465.wav,go
clip_382c0c8a3.wav,down
clip_4053e2084.wav,off
clip_498981ecd.wav,yes
clip_60d37f249.wav,yes
clip_2b2767061.wav,unknown
clip_527442d16.wav,no
clip_522b00159.wav,on
clip_660bef552.wav,down
clip_6259e2f5d.wav,yes
clip_0771b95c9.wav,unknown
clip_29770eef8.wav,no
clip_4645473da.wav,no
clip_1a77a9453.wav,no
clip_0688a32b2.wav,no
clip_084bacef1.wav,stop
clip_5a1a05904.wav,no
clip_1afd4cf32.wav,stop
clip_6098ad686.wav,no
